Institution,Project_ID,Country,Doc_Title,URL
ADB,44318-023,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents//44318-023-pcr.pdf
ADB,44318-025,Uzbekistan,Loan Agreement,https://www.adb.org/sites/default/files/project-documents//44318-025-mlo1.pdf
ADB,44318-025,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-document/61030/44318-013-uzb-rrp.pdf
ADB,44318-025,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/44318/44318-025-pcr-en.pdf
ADB,44318-026,Uzbekistan,Loan Agreement,https://www.adb.org/sites/default/files/project-documents//44318-026-mlo1.pdf
ADB,44318-026,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-document/181241/44318-026-pfrr.pdf
ADB,44318-026,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/44318/44318-026-pcr-en.pdf
ADB,50022-002,Uzbekistan,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/50022/50022-002-lna-en.pdf
ADB,50022-002,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/50022/50022-002-rrp-en.pdf
ADB,50022-002,Uzbekistan,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/50022/50022-002-pcr-en.pdf
ADB,51348-001,Uzbekistan,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/51348/51348-001-lna-en.pdf
ADB,51348-001,Uzbekistan,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/51348/51348-005-rrp-en.pdf
ADB,51348-001,Uzbekistan,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/51348/51348-001-emr-en_4.pdf
ADB,51348-001,Uzbekistan,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/51348/51348-001-lna-en_0.pdf
ADB,51348-001,Uzbekistan,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/51348/51348-005-rrp-en.pdf
ADB,51348-001,Uzbekistan,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/51348/51348-001-emr-en_4.pdf
ADB,51348-005,Uzbekistan,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/51348/51348-005-lna-en.pdf
ADB,51348-005,Uzbekistan,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/51348/51348-005-rrp-en.pdf
ADB,51348-005,Uzbekistan,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/51348/51348-001-emr-en_4.pdf
